id,score_date,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,region_emea,region_apac,region_latam,region_amer,customer_age_quarters,sales_assisted,legacy_flag,product_counts,billing_dunning_not_ok,crm_industry_current,crm_employee_range,crm_success_owner_change,csat_score,csat_response_rate,nps_score,nps_score_all_time,avg_nps_rating,avg_nps_rating_all_time,outreach_call_90dayflag,num_low_sev_outages,num_high_sev_outages,months_since_high_sev_outage,num_tickets_deflected,max_tickets_per_agent,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr,discount_arr_usd,team_plus,pro_plus,ent_plus,discount_arr_usd_percentage,product_counts_percentage,total_pool_max_agents,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease
JMAN_9332838,2023-01-27,0,1,0,0,0,0,1,0,0,14,0,0,3,0,Consumer Services,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,6,0,10.0,0,0,324.0,132.0,-192.0,0.0,-216.0,0.0,0.0,0,0,0,100,100,0,3.0,0.0,3.0,3.0,0,0,1.0,1.0,0,0
JMAN_2468511,2023-03-10,0,1,0,0,0,0,1,0,0,17,0,0,5,1,Consumer Services,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,6,0,12.0,0,0,60.0,1668.0,-60.0,0.0,0.0,-60.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2466490,2023-03-31,0,1,0,0,0,0,0,0,1,17,0,0,3,0,Technology,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,11,0,6.0,0,0,1308.0,1308.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2481280,2023-02-03,0,1,1,0,0,0,1,0,0,17,0,0,5,0,Technology,1000 - 4999,0,0,0,0.0,0.0,0.0,0.0,0,9,0,11.0,0,0,816.0,816.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,2.0,0.0,2.0,2.0,0,0,1.0,1.0,0,0
JMAN_9021651,2023-03-17,0,1,0,0,0,0,0,0,1,17,0,0,1,0,"Retail, Wholesale & Distribution",Unknown,0,0,0,0.0,0.0,0.0,0.0,0,11,0,6.0,0,0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,1,0,0,100,100,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9038285,2023-02-17,0,1,0,0,0,0,1,0,0,16,0,0,6,0,"Retail, Wholesale & Distribution",Unknown,0,0,0,0.0,0.0,0.0,0.0,0,4,0,2.0,0,0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_10445041,2023-01-27,0,1,0,0,0,1,0,0,0,9,1,0,1,0,"Retail, Wholesale & Distribution",Unknown,0,0,0,0.0,0.0,0.0,0.0,0,0,0,19.0,0,154,4752.0,4752.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,40,0,5.0,0.4,5.0,5.0,1,0,1.0,1.0,0,0
JMAN_2467880,2023-01-13,0,1,0,0,0,1,0,0,0,17,0,0,3,0,Technology,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,5,0,3.0,0,0,64.32,65.04,0.0,0.72,0.0,0.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2375471,2023-03-03,0,1,0,0,0,0,0,0,1,17,0,0,5,0,Technology,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,10,0,8.0,0,14,11232.0,11232.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,12.0,0.083333333,11.0,11.0,0,1,1.0,1.0,0,0
JMAN_2325725,2023-01-27,0,1,0,0,0,1,0,0,0,17,0,0,2,0,Technology,Unknown,0,0,0,0.0,100.0,0.0,9.0,0,6,0,2.0,0,2,115.8,117.12,0.0,1.32,0.0,0.0,0.0,0,0,0,100,80,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2471638,2023-01-06,0,1,0,0,0,0,0,0,1,16,1,0,4,0,Energy & Utilities,Unknown,0,0,0,100.0,100.0,10.0,10.0,0,4,0,10.0,0,6,7836.0,7836.0,0.0,0.0,0.0,0.0,0.0,1,1,1,100,100,0,4.0,0.25,4.0,4.0,0,1,1.0,1.0,0,0
JMAN_2480410,2023-03-10,1,0,0,0,0,0,0,0,1,17,0,0,3,0,Energy & Utilities,Unknown,0,0,0,0.0,100.0,0.0,10.0,0,8,0,6.0,0,1,8352.0,8352.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,12.0,0.090909091,10.0,12.0,0,1,0.916666667,0.833333333,1,0
JMAN_2447191,2023-03-17,0,1,0,0,0,0,0,0,1,17,0,0,5,0,Unknown,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,10,0,12.0,0,0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_18410832,2023-01-13,0,1,0,0,0,0,1,0,0,17,0,0,1,0,Government,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,1.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0
JMAN_9000609,2023-03-10,1,0,0,0,0,1,0,0,0,17,1,0,4,0,Manufacturing & Resources,Unknown,0,100,10,100.0,100.0,10.0,10.0,0,0,0,21.0,4,71,11272.32,11813.88,0.0,541.56,0.0,0.0,0.0,1,1,1,100,100,0,4.0,1.0,5.0,5.0,1,0,1.0,1.0,0,0
JMAN_2448001,2023-02-17,0,1,0,0,0,1,0,0,0,17,0,0,3,0,Healthcare,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,0,0,14.0,0,0,1155.84,1178.28,0.0,22.44,0.0,0.0,0.0,1,1,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_10575478,2023-03-17,0,1,1,0,0,0,0,0,1,8,1,0,5,0,Healthcare,500 - 999,0,0,0,0.0,0.0,0.0,0.0,0,8,1,0.0,0,55,42792.0,47796.0,5004.0,0.0,4320.0,0.0,0.0,1,1,1,100,100,0,24.0,0.0,24.0,24.0,0,1,1.0,1.0,0,0
JMAN_2468303,2023-03-03,1,0,0,0,0,0,0,0,1,17,0,0,3,0,Corporate Services,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,11,0,12.0,0,8,480.0,600.0,120.0,0.0,120.0,0.0,0.0,0,0,0,100,100,0,8.0,0.0,8.0,8.0,0,1,1.0,1.0,0,0
JMAN_2476991,2023-02-17,0,1,0,0,0,1,0,0,0,17,0,0,4,0,Corporate Services,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,0,0,20.0,0,101,4704.0,5292.0,588.0,0.0,588.0,0.0,0.0,1,1,0,100,100,0,8.0,0.428571429,8.0,8.0,0,1,0.875,1.0,0,1
JMAN_9075938,2023-01-06,1,0,0,0,0,1,0,0,0,15,0,0,5,0,Consumer Services,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,0,0,19.0,0,158,7668.0,7668.0,0.0,0.0,0.0,0.0,0.0,1,0,0,100,100,0,21.0,0.095238095,21.0,21.0,0,1,1.0,1.0,0,0
JMAN_2479556,2023-03-17,0,1,0,0,0,1,0,0,0,13,0,0,6,0,Technology,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,10,0,12.0,0,62,456.0,456.0,0.0,0.0,0.0,0.0,0.0,1,0,0,100,100,0,2.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0
JMAN_9002897,2023-03-10,0,1,0,0,0,1,0,0,0,17,1,0,1,0,Technology,Unknown,0,100,25,0.0,0.0,0.0,0.0,0,17,0,1.0,2,372,5044.8,7751.16,2621.4,84.96,2621.34,0.0,0.0,1,1,0,100,100,0,4.0,0.25,4.0,4.0,0,1,1.0,1.0,0,0
JMAN_2437713,2023-01-27,0,1,0,0,0,0,0,1,0,17,0,0,4,0,Technology,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,8,0,10.0,0,4,240.0,240.0,0.0,0.0,0.0,0.0,0.0,0,0,0,100,80,0,4.0,0.0,4.0,4.0,0,1,1.0,1.0,0,0
JMAN_9002599,2023-01-13,0,1,0,0,0,1,0,0,0,16,0,0,2,0,Technology,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,5,0,3.0,0,8,64.32,65.04,0.0,0.72,0.0,0.0,0.0,0,0,0,100,100,0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,0,0
JMAN_2478636,2023-03-24,0,1,0,0,0,1,0,0,0,17,0,0,1,0,Government,Unknown,0,100,100,0.0,0.0,0.0,0.0,0,10,0,1.0,0,42,2844.0,2844.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,3.0,0.0,3.0,3.0,0,1,1.0,1.0,0,0
JMAN_9001400,2023-03-17,0,1,0,0,0,0,0,0,1,17,1,0,1,0,Manufacturing & Resources,Unknown,0,100,11,0.0,0.0,0.0,0.0,0,10,0,12.0,11,143,10800.0,10800.0,0.0,0.0,0.0,0.0,0.0,1,1,1,100,100,0,6.0,0.5,6.0,6.0,0,1,1.0,1.0,0,0
JMAN_2481392,2023-02-10,0,1,0,0,0,0,0,0,1,17,0,0,5,0,Manufacturing & Resources,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,12,0,11.0,0,4,300.0,300.0,0.0,0.0,0.0,0.0,0.0,1,0,0,100,100,0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,0,0
JMAN_18410798,2023-02-17,0,1,0,1,0,0,1,0,0,17,0,0,1,0,Manufacturing & Resources,500 - 999,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,1,0,0,100,100,0,1.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0
JMAN_9018227,2023-03-10,1,0,0,0,0,0,1,0,0,17,0,0,3,0,Technology,100 - 249,0,0,0,0.0,0.0,0.0,0.0,0,6,0,12.0,0,57,1308.0,1668.0,360.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9007825,2023-01-20,1,0,0,0,0,0,1,0,0,16,1,0,4,0,Corporate Services,100 - 249,0,0,0,0.0,0.0,0.0,0.0,0,6,0,10.0,0,0,396.0,396.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9441150,2023-03-17,0,1,0,0,0,0,0,0,1,17,0,0,5,0,"Retail, Wholesale & Distribution",Unknown,0,0,0,0.0,0.0,0.0,0.0,0,10,0,12.0,0,83,1500.0,2100.0,600.0,0.0,600.0,0.0,0.0,1,0,0,100,100,0,5.0,0.25,4.0,5.0,0,1,0.8,0.8,0,0
JMAN_2479438,2023-03-24,0,1,0,0,0,0,1,0,0,17,0,0,5,0,Technology,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,8,0,12.0,0,0,1536.0,1536.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,2.0,0.0,2.0,2.0,0,0,1.0,1.0,0,0
JMAN_2477395,2023-02-10,0,1,0,0,0,0,0,0,1,17,0,0,4,0,Technology,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,11,0,5.0,0,0,2736.0,2736.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,2.0,0.0,1.0,2.0,0,0,0.5,0.5,0,0
JMAN_9006660,2023-02-24,1,0,0,0,0,1,0,0,0,16,1,0,5,0,Manufacturing & Resources,100 - 249,0,100,14,0.0,0.0,0.0,0.0,0,0,0,20.0,0,45,9402.96,9585.12,0.0,182.16,0.0,0.0,0.0,1,1,1,100,100,0,3.0,0.0,3.0,3.0,0,0,0.666666667,1.0,0,1
JMAN_14331200,2023-01-20,0,1,0,0,1,1,0,0,0,17,0,0,1,0,Energy & Utilities,250 - 499,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1524.96,1591.92,0.0,315.6,0.0,0.0,0.0,1,0,0,100,100,0,7.0,0.0,7.0,7.0,0,0,1.0,1.0,0,0
JMAN_18315630,2023-02-24,0,1,0,0,0,1,0,0,0,17,0,0,1,0,Unknown,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,348.0,348.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,1.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0
JMAN_2447191,2023-02-17,0,1,0,0,0,0,0,0,1,17,0,0,5,0,Unknown,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,10,0,11.0,0,0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9773302,2023-02-10,0,1,0,0,0,1,0,0,0,12,0,0,5,0,Unknown,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,10,1,0.0,0,3,116.88,145.68,26.04,2.76,0.0,0.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_14567352,2023-02-17,0,1,0,0,0,0,0,0,1,3,1,0,1,0,Manufacturing & Resources,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,10,0,0.0,0,2,2352.0,2352.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,4.0,0.0,4.0,4.0,0,0,1.0,1.0,0,0
JMAN_9020100,2023-01-06,0,1,0,0,0,1,0,0,0,17,0,0,5,0,Manufacturing & Resources,Unknown,0,100,33,0.0,0.0,0.0,0.0,0,0,0,19.0,0,20,964.8,1171.32,195.84,10.68,195.912,0.0,0.0,0,0,0,100,100,0,15.0,0.2,14.0,15.0,0,1,1.0,0.933333333,1,0
JMAN_2483334,2023-03-03,0,1,0,0,0,0,0,0,1,17,0,0,5,0,Manufacturing & Resources,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,11,0,12.0,0,112,10512.0,10512.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,11.0,0.2,10.0,10.0,0,1,0.909090909,1.0,0,1
JMAN_2476016,2023-02-24,0,1,0,0,0,0,0,0,1,17,0,0,5,0,Manufacturing & Resources,Unknown,0,100,33,0.0,0.0,0.0,0.0,0,12,0,11.0,0,127,8916.0,108.0,-8808.0,0.0,-4956.0,-3252.0,0.0,1,1,0,100,100,0,8.0,0.375,8.0,8.0,0,0,1.0,1.0,0,0
JMAN_2479290,2023-03-24,0,1,0,0,0,0,0,0,1,17,0,0,5,0,Manufacturing & Resources,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,10,0,12.0,0,1069,3924.0,4836.0,912.0,0.0,912.0,0.0,0.0,1,0,0,100,100,0,15.0,0.25,14.0,14.0,0,1,1.0,1.0,0,0
JMAN_18139241,2023-02-10,0,1,0,0,0,1,0,0,0,17,0,0,1,0,Manufacturing & Resources,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,708.0,708.0,0.0,0.0,0.0,0.0,0.0,1,1,1,100,100,0,1.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0
JMAN_9019580,2023-03-10,0,1,1,0,0,1,0,0,0,17,1,0,2,0,Technology,250 - 499,0,0,0,0.0,0.0,0.0,0.0,0,0,0,21.0,0,41,2904.6,2975.16,0.0,70.56,0.0,0.0,0.0,1,0,0,100,100,0,12.0,0.0,9.0,12.0,0,1,0.75,0.75,0,0
JMAN_2471019,2023-03-24,0,1,0,0,0,1,0,0,0,17,0,0,5,0,Consumer Services,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,10,0,1.0,0,30,63.72,65.28,0.0,1.56,0.0,0.0,0.0,0,0,0,100,100,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_14624810,2023-01-13,0,1,0,0,0,0,0,0,1,1,0,0,1,0,"Retail, Wholesale & Distribution",Unknown,0,100,14,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,4248.0,1668.0,-4248.0,0.0,0.0,-4248.0,0.0,1,0,0,100,100,0,6.0,0.0,6.0,6.0,0,1,1.0,1.0,0,0
JMAN_2449227,2023-02-17,0,1,0,0,0,1,0,0,0,17,0,0,5,0,Corporate Services,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,0,0,20.0,0,0,2127.84,1928.76,-273.48,74.4,-652.53,0.0,0.0,1,0,0,100,100,0,4.0,0.0,4.0,4.0,0,1,1.0,1.0,0,0
JMAN_11018677,2023-02-03,0,1,0,0,0,0,0,0,1,7,0,0,1,0,Corporate Services,Unknown,0,0,0,0.0,0.0,0.0,8.0,0,10,0,11.0,0,31,3564.0,4140.0,576.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,3.0,0.0,3.0,3.0,0,1,1.0,1.0,0,0
JMAN_9019962,2023-02-03,0,1,0,0,0,0,1,0,0,17,0,0,6,0,Corporate Services,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,2,0,2.0,0,8,528.0,588.0,60.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2468303,2023-03-17,1,0,0,0,0,0,0,0,1,17,0,0,3,0,Corporate Services,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,10,0,12.0,0,8,480.0,600.0,120.0,0.0,120.0,0.0,0.0,0,0,0,100,100,0,8.0,0.125,8.0,8.0,0,1,1.0,1.0,0,0
